Rune,Ist Price,Trade Count
Ist Rune,1.0,0
Amn Rune,0.0588,403
Ber Rune,13.2414,116
Cham Rune,4.8971,34
Dol Rune,0.0492,143
El Rune,0.0972,226
Eld Rune,0.0989,129
Eth Rune,0.0432,125
Fal Rune,0.1107,87
Gul Rune,1.7794,115
Hel Rune,0.172,445
Io Rune,0.1689,248
Ist Rune,5.0972,3
Ith Rune,0.0427,53
Jah Rune,17.1098,214
Ko Rune,0.2151,181
Lem Rune,0.3235,108
Lo Rune,6.9138,271
Lum Rune,0.0607,84
Mal Rune,0.8498,126
Nef Rune,0.0478,189
Ohm Rune,4.7211,221
Ort Rune,0.0288,252
Pul Rune,0.4189,74
Ral Rune,0.0779,584
Shael Rune,0.0583,2
Sol Rune,0.05,7
Sur Rune,7.0,3
Tal Rune,0.0438,8
Thul Rune,0.0298,13
Tir Rune,0.0417,2
Um Rune,0.4934,8
Vex Rune,2.2074,45
Zod Rune,6.25,4
